lambda,flux
4853.4693,5.449965e-14
4855.2151,5.434963e-14
4856.9609,5.501975e-14
4858.7067,5.630999e-14
4860.4525,5.702912e-14
4862.1983,5.776926e-14
4863.9441,5.757923e-14
4865.6899,5.816933e-14
4867.4356,5.845939e-14
4869.1814,5.956959e-14
4870.9272,6.114988e-14
4872.6730,6.171998e-14
4874.4188,6.177999e-14
4876.1646,6.103986e-14
4877.9104,6.059978e-14
4879.6562,6.060978e-14
4881.4020,5.989965e-14
4883.1477,6.014969e-14
4884.8935,6.166998e-14
4886.6393,6.262916e-14
4888.3851,6.361934e-14
4890.1309,6.480955e-14
4891.8767,6.544967e-14
4893.6225,6.579974e-14
4895.3683,6.582974e-14
4897.1141,6.588976e-14
4898.8598,6.547968e-14
4900.6056,6.531965e-14
4902.3514,6.455951e-14
4904.0972,6.353932e-14
4905.8430,6.377937e-14
4907.5888,6.300922e-14
4909.3346,6.207905e-14
4911.0804,6.138993e-14
4912.8262,6.040975e-14
4914.5719,6.016970e-14
4916.3177,6.099985e-14
4918.0635,6.221908e-14
4919.8093,6.395940e-14
4921.5551,6.512962e-14
4923.3009,6.625982e-14
4925.0467,6.656988e-14
4926.7925,6.620981e-14
4928.5383,6.543967e-14
4930.2840,6.522963e-14
4932.0298,6.513962e-14
4933.7756,6.531965e-14
4935.5214,6.723901e-14
4937.2672,6.853924e-14
4939.0130,6.957943e-14
4940.7588,7.005952e-14
4942.5046,6.905934e-14
4944.2504,6.819918e-14
4945.9961,6.711998e-14
4947.7419,6.699996e-14
4949.4877,6.538966e-14
4951.2335,6.416944e-14
4952.9793,6.332929e-14
4954.7251,6.299922e-14
4956.4709,6.309924e-14
4958.2167,6.304923e-14
4959.9625,6.286920e-14
4961.7082,6.315925e-14
4963.4540,6.348931e-14
4965.1998,6.361934e-14
4966.9456,6.338930e-14
4968.6914,6.316925e-14
4970.4372,6.230909e-14
4972.1830,6.111988e-14
4973.9288,5.943957e-14
4975.6746,5.788928e-14
4977.4203,5.764924e-14
4979.1661,5.852940e-14
4980.9119,5.996966e-14
4982.6577,6.043975e-14
4984.4035,6.122990e-14
4986.1493,6.179900e-14
4987.8951,6.240912e-14
4989.6409,6.218907e-14
4991.3867,6.207905e-14
4993.1324,6.039974e-14
4994.8782,5.921952e-14
4996.6240,5.791929e-14
4998.3698,5.705913e-14
5000.1156,5.638900e-14
5001.8614,5.721916e-14
5003.6072,5.719915e-14
5005.3530,5.733918e-14
5007.0988,5.742919e-14
5008.8445,5.688910e-14
5010.5903,5.705913e-14
5012.3361,5.740919e-14
5014.0819,5.786928e-14
5015.8277,5.850940e-14
5017.5735,5.881945e-14
5019.3193,5.949958e-14
5021.0651,6.033973e-14
5022.8109,6.104987e-14
5024.5567,6.116989e-14
